violations,center_lat,center_lon,avg_vehicle_weight,avg_severity,avg_repeat,avg_criticality,compactness,density,density_norm,avg_vehicle_weight_norm,avg_severity_norm,avg_repeat_norm,avg_criticality_norm,PCRI
243,12.917187581069959,77.59605774814814,1.8353909465020577,9.197530864197532,1.3786008230452675,1.0016460905349795,0.0011809753998805602,205762.1183511326,0.028642509695835035,0.2119040449663756,0.6921597476902895,0.06436081239491429,0.0,18.989655653579366
120,12.855131576302032,77.66392578434504,2.033333333333333,5.3,1.2083333333333333,1.2,0.0013149912629572085,91255.35916500227,0.010330065324861408,0.26211382113821136,0.3164859903716274,0.03412796603050228,0.5052871467639015,18.714206102791923
82,13.013022274390243,77.6264171012195,2.573170731707317,3.402439024390244,1.8170731707317074,1.2,0.0011780828945772994,69604.60963947864,0.006867578489201679,0.3990481856038073,0.13358458784601698,0.14221635102460034,0.5052871467639015,18.610332254927037
174,12.896648908045975,77.72005069310345,2.0402298850574714,3.189655172413793,1.0632183908045978,1.2,0.00020918948542398538,831781.7678423784,0.12875843375067825,0.26386319035604155,0.11307485695381794,0.00836122823414287,0.5052871467639015,18.430715800661385
137,12.981136697080291,77.75161673065693,2.240875912408759,4.8321167883211675,1.218978102189781,1.2,0.003005817253591069,45578.286516362634,0.003025179064413906,0.3147587680256365,0.2713878371453541,0.03601806062205429,0.5052871467639015,18.374597641335455
166,12.951284720481928,77.60709605421687,2.0783132530120483,2.9879518072289155,2.6566265060240966,1.2,0.0016957464850236132,97891.99120627306,0.011391425858774003,0.27352336173964154,0.09363314790697438,0.2912881852518328,0.5052871467639015,18.322843269527215
49,13.035601438095236,77.5140314414966,2.693877551020408,3.8979591836734695,1.2244897959183674,1.2,0.0011452366381620427,42785.91722199762,0.0025786106021700806,0.42966650074664015,0.18134660091307678,0.03699672184496866,0.5052871467639015,18.296438929670146
751,12.979174765446162,77.64036069120343,1.573901464713715,5.03595206391478,1.4873501997336884,1.2,0.0028890539561153266,259946.68545748034,0.03730795336005907,0.14557500568347892,0.29103503598084135,0.08367044809347918,0.5052871467639015,18.14446809533179
75,12.938293385333333,77.53317105066667,3.2933333333333334,2.4133333333333336,1.3333333333333333,1.2,0.0012145809336322855,61749.69318488105,0.005611384342796331,0.5817235772357724,0.038247035869728385,0.05632307680558418,0.5052871467639015,18.111346181471312
124,13.07183126048387,77.63387696854839,1.7258064516129032,5.459677419354839,1.2580645161290323,1.2,0.0013864324582648414,89438.18305811264,0.010039454215035243,0.18410700236034622,0.331876918161068,0.04295827891951337,0.5052871467639015,17.97420568140401
